Date,Instrument,Song/Piece,Artist,Genre
9/17/20,Piano,Pavane Pour Une Infante Defunte,Ravel,Classical
9/18/20,Bass,Living on a Prayer,Bon Jovi,Rock
9/18/20,Bass,Feel Good Inc.,Gorillaz,Indie
9/18/20,Bass,Reptilia,The Strokes,Indie
9/18/20,Bass,The Less I Know the Better,Tame Impala,Indie
9/18/20,Bass,Whip It,DEVO,Rock
9/18/20,Piano,OG Stuff,Me,My Composition
9/18/20,Piano,Pavane Pour Une Infante Defunte,Ravel,Classical
9/19/20,Piano,OG Stuff,Me,My Composition
9/19/20,Electric Guitar,Knights of Cydonia,Muse,Rock
9/20/20,Acoustic Guitar,Let Her Go,Passenger,Folk
9/20/20,Piano,OG Stuff,Me,My Composition
9/20/20,Piano,Pavane Pour Une Infante Defunte,Ravel,Classical
9/20/20,Bass,Hysteria,Muse,Rock
9/20/20,Bass,The Chain,Fleetwood Mac,Rock
9/21/20,Piano,OG Stuff,Me,My Composition
9/21/20,Electric Guitar,Knights of Cydonia,Muse,Rock
9/21/20,Electric Guitar,Kickstart My Heart,Motley Crue,Metal
9/21/20,Bass,Lovesong,The Cure,Rock
9/22/20,Piano,OG Stuff,Me,My Composition
9/22/20,Electric Guitar,Separate Ways (Worlds Apart),Journey,Rock
9/22/20,Electric Guitar,Enter Sandman,Metallica,Metal
9/22/20,Bass,Lovesong,The Cure,Rock
9/22/20,Bass,Fluorescent Adolescent,Arctic Monkeys,Indie
9/23/20,Bass,Living on a Prayer,Bon Jovi,Rock
9/23/20,Bass,You Give Love a Bad Name,Bon Jovi,Rock
9/23/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
9/23/20,Piano,OG Stuff,Me,My Composition
9/24/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
9/24/20,Piano,Sonata 18,Beethoven,Classical
9/24/20,Electric Guitar,Separate Ways (Worlds Apart),Journey,Rock
9/24/20,Electric Guitar,You Give Love a Bad Name,Bon Jovi,Rock
9/25/20,Electric Guitar,Any Way You Want It,Journey,Rock
9/26/20,Electric Guitar,Any Way You Want It,Journey,Rock
9/26/20,Electric Guitar,Easy Lover,Phillip Bailey,Pop
9/26/20,Piano,OG Stuff,Me,My Composition
9/27/20,Piano,OG Stuff,Me,My Composition
9/27/20,Bass,Lovesong,The Cure,Rock
9/27/20,Bass,Fluorescent Adolescent,Arctic Monkeys,Indie
9/27/20,Ukulele,Hey There Delilah,Plain White T's,Pop
9/28/20,Bass,Lovesong,The Cure,Rock
9/28/20,Bass,Fluorescent Adolescent,Arctic Monkeys,Indie
9/28/20,Piano,OG Stuff,Me,My Composition
9/28/20,Piano,Sonata 18,Beethoven,Classical
9/29/20,Bass,Rasputin,Boney M,Pop
9/30/20,Electric Guitar,Breed,Nirvana,Rock
9/30/20,Electric Guitar,Fluorescent Adolescent,Arctic Monkeys,Indie
10/1/20,Electric Guitar,Girls Girls Girls,Motley Crue,Metal
10/1/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
10/1/20,Piano,Sonata 18,Beethoven,Classical
10/1/20,Piano,OG Stuff,Me,My Composition
10/2/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
10/2/20,Electric Guitar,Carry On Wayward Son,Kansas,Rock
10/3/20,Piano,Piano Sonata no. 3,Mozart,Classical
10/3/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
10/3/20,Electric Guitar,Carry On Wayward Son,Kansas,Rock
10/3/20,Electric Guitar,Whip It,DEVO,Rock
10/3/20,Electric Guitar,Breed,Nirvana,Rock
10/3/20,Electric Guitar,Separate Ways (Worlds Apart),Journey,Rock
10/3/20,Bass,Electric Feel,MGMT,Indie
10/3/20,Bass,Rasputin,Boney M,Pop
10/4/20,Piano,OG Stuff,Me,My Composition
10/5/20,Electric Guitar,What I Like About You,The Romantics,Rock
10/5/20,Electric Guitar,Jessie's Girl,Rick Springfield,Rock
10/5/20,Electric Guitar,We Didn't Start the Fire,Billy Joel,Rock
10/6/20,Piano,Moonlight Sonata,Beethoven,Classical
10/6/20,Piano,OG Stuff,Me,My Composition
10/7/20,Piano,OG Stuff,Me,My Composition
10/8/20,Piano,Moonlight Sonata,Beethoven,Classical
10/8/20,Electric Guitar,OG Stuff,Me,My Composition
10/8/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
10/8/20,Electric Guitar,Talk Too Much,COIN,Indie
10/9/20,Piano,Moonlight Sonata,Beethoven,Classical
10/9/20,Piano,OG Stuff,Me,My Composition
10/10/20,Piano,Moonlight Sonata,Beethoven,Classical
10/11/20,Piano,Moonlight Sonata,Beethoven,Classical
10/11/20,Piano,OG Stuff,Me,My Composition
10/11/20,Piano,Waterfall Etude,Chopin,Classical
10/11/20,Bass,Rasputin,Boney M,Pop
10/11/20,Bass,Hysteria,Muse,Rock
10/11/20,Bass,Silly Love Songs,Wings,Pop
10/11/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
10/11/20,Electric Guitar,Separate Ways (Worlds Apart),Journey,Rock
10/11/20,Electric Guitar,867-5309,Tommy Tutone,Rock
10/12/20,Piano,Waterfall Etude,Chopin,Classical
10/12/20,Piano,OG Stuff,Me,My Composition
10/12/20,Electric Guitar,Enter Sandman,Metallica,Metal
10/12/20,Electric Guitar,The Final Countdown,Europe,Rock
10/12/20,Electric Guitar,Carry On Wayward Son,Kansas,Rock
10/12/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
10/12/20,Electric Guitar,867-5309,Tommy Tutone,Rock
10/13/20,Piano,Moonlight Sonata,Beethoven,Classical
10/13/20,Piano,OG Stuff,Me,My Composition
